variant,ooc_rate,worldline_recall_at_k,commitment_fulfillment,relationship_continuity,memory_guard_block_rate
baseline,0.0000,1.0000,1.0000,1.0000,0.2000
worldline_off,0.0000,0.6667,0.6667,1.0000,0.2000
